"CODE" "OURCODE" "CS" "PS" "LC"
"217" "M3NS-Ib-15.1" "M03NS1004" NA NA "rounds numbers to the nearest ten, hundred and thousand.."
"218" "M3NS-Ib-12.3" "M03NS1005" NA NA "compares numbers  up to 10 000 using relation symbols."
"219" "M3NS-Ib-13.3" "M03NS1006" NA NA "orders 4- to 5-digit numbers in increasing or decreasingorder."
"220" "M3NS-Ic-16.3" "M03NS1007" NA NA "identifies ordinal numbers from 1st to 100th with emphasis on the 21st to 100th object in a given set from agiven point of reference."
"221" "M3NS-Ic-19.2" "M03NS1008" NA NA "recognizes coins and bills upto PhP1 000."
"222" "M3NS-Ic-20.2" "M03NS1009" NA NA "reads and writes money in symbols and in words through PhP1 000 in pesos and centavos."
"223" "M3NS-Id-22.2" "M03NS1010" NA NA "compares values of the different denominations of coins and bills through PhP1 000 using relation symbols."
"224" "M3NS-Id-27.6" "M03NS1011" NA NA "adds 3- to 4-digit numbers up to three addends with sums up to 10 000 without and with regrouping."
"225" "M3NS-Ie-31" "M03NS1012" NA NA "estimates the sum of 3- to 4- digit addends with reasonable results."
"226" "M3NS-Ie-28.7" "M03NS1013" NA NA "adds mentally 2-digit and 1- digit numbers without or with regrouping using appropriate strategies."
"227" "M3NS-Ie-28.8" "M03NS1014" NA NA "adds mentally 2- to 3-digit numbers with multiples of hundreds using appropriate strategies."
"228" "M3NS-If-29.3" "M03NS1015" NA NA "solves routine and non- routine problems involving addition of whole numbers with sums up to 10 000 including money using appropriate problem solving strategies and tools."
"229" "M3NS-If-30.3" "M03NS1016" NA NA "creates problems involvingaddition of whole numbers including money."
"230" "M3NS-Ig-32.6" "M03NS1017" NA NA "subtracts 3-to 4-digit numbers from 3- to 4-digit numbers without and with regrouping."
"231" "M3NS-Ih-36" "M03NS1018" NA NA "estimates the difference of two numbers with three to four digits with reasonable results."
"232" "M3NS-Ih-33.5" "M03NS1019" NA NA "subtracts mentally 1- to 2 – digits numbers without and with regrouping using appropriate strategies."
"233" "M3NS-Ii-33.6" "M03NS1020" NA NA "subtracts mentally 2- to 3 – digits numbers  with multiples of hundreds without and with regroupingusing appropriate strategies."
"234" "M3NS-Ii-34.5" "M03NS1021" NA NA "solves routine and non- routine problems involving subtraction  without or with addition of whole numbers including money using appropriate problem solving strategies and tools."
"235" "M3NS-Ij-35.4" "M03NS1022" NA NA "creates problems involving addition and/or subtraction of whole numbers including money."
"236" "M3NS-IIa-41.2" "M03NS2023" " understanding of multiplication and division of whole numbers including money." " apply multiplication and division of whole numbers including money in mathematical problems  and real-life situations" "visualizes multiplication of numbers 1 to 10 by 6,7,8 and 9."
"237" "M3NS-IIa-41.3" "M03NS2024" NA NA "visualizes and states basicmultiplication facts for numbers up to 10."
"238" "M3NS-IIb-40.4" "M03NS2025" NA NA "applies the commutative property of multiplication."
"239" "M3NS-IIb-40.5" "M03NS2026" NA NA "multiplies 2-digit by 1-digit numbers using thedistributive property of multiplication."
"240" "M3NS-IIb-40.6" "M03NS2027" NA NA "multiplies three 1-digit numbers using theassociative property of multiplication."
"241" "M3NS-IIc-43.1" "M03NS2028" NA NA "multiplies 2- to 3-digitnumbers by 1-digit numbers_without"
"242" "M3NS-IIc-43.2" "M03NS2029" NA NA "multiplies 2-digit numbers by 2-digit numbers without regrouping."
"243" "M3NS-IIc-43.3" "M03NS2030" NA NA "multiplies 2-digit number by 2-digit numbers with regrouping."
"244" "M3NS-IId-43.4" "M03NS2031" NA NA "multiplies 2- to 3-digitnumbers by multiples of 10 and 100."
"245" "M3NS-IId-43.5" "M03NS2032" NA NA "multiplies 1- to 2-digit numbers by1 000."
"246" "M3NS-IId-44.1" "M03NS2033" NA NA "estimates the product of 2- to 3-digit numbers and 1- to 2-digit numbers with reasonable results ."
"247" "M3NS-IIe-42.2" "M03NS2034" NA NA "multiplies mentally 2-digit by 1-digit numbers without regrouping with products of up to 100."
"248" "M3NS-IIe-45.3" "M03NS2035" NA NA "solves routine and non- routine problems involving multiplication without or with addition and subtraction of whole numbers including money using appropriate problem solving strategies and tools."
"249" "M3NS-IIf-46.2" "M03NS2036" NA NA "creates problems involving multiplication or with addition or subtraction of whole numbers including money."
"250" "M3NS-IIf-47" "M03NS2037" NA NA "visualizes and states the multiples of 1- to 2-digitnumbers."
"251" "M3NS-IIg-51.2" "M03NS2038" NA NA "visualizes division of numbers up to 100 by 6,7,8,and 9(multiplication table of 6, 7,8, and 9)."
"252" "M3NS-IIg-51.3" "M03NS2039" NA NA "visualizes and states basic division facts of numbers up to 10."
"253" "M3NS-IIh-54.1" "M03NS2040" NA NA "divides 2- to 3-digit numbers by 1- to 2- digit numbers without and with remainder."
"254" "M3NS-IIh-54.2" "M03NS2041" NA NA "divides 2-3 digit numbers by 10 and 100 without or with remainder."
"255" "M3NS-IIi-55.1" "M03NS2042" NA NA "estimates the quotient of 2- to 3- digit numbers by 1- to 2- digit numbers."
"256" "M3NS-IIi-52.2" "M03NS2043" NA NA "divides mentally 2-digit numbers by 1-digit numbers without remainder using appropriate strategies."
"257" "M3NS-IIj-56.2" "M03NS2044" NA NA "solves routine and non- routine problems involving division of 2- to 4-digit numbers by 1- to 2-digit numbers without  or with any of the other operations of whole numbers including money using appropriate problem solving strategies and tools."
"258" "M3NS-IIj-57.2" "M03NS2045" NA NA "creates problems involving division or with any of the other operations of wholenumbers including money."
"259" "M3NS-IIIa-63" "M03NS3046" " understanding of proper and improper, similar and dissimilar and equivalent fractions." " recognize and represent proper and improper, similar and dissimilar and equivalent fractions in various forms and contexts." "identifies odd and even numbers."
"260" "M3NS-IIIa-72.4" "M03NS3047" NA NA "visualizes and represents fractions that are equal to one and greater than one."
"261" "M3NS-IIIb-76.3" "M03NS3048" NA NA "reads and writes fractions that are equal to one and greater than one in symbols and in words."
"262" "M3NS-IIIb-72.5" "M03NS3049" NA NA "represents fractions using regions, sets, and the number line."
"263" "M3NS-IIIc-72.6" "M03NS3050" NA NA "visualizes and represents dissimilar fractions."
"264" "M3NS-IIId-77.3" "M03NS3051" NA NA "visualizes, represents, and compares dissimilar fractions."
"265" "M3NS-IIId-78.3" "M03NS3052" NA NA "visualizes, represents, and arranges dissimilar fractions in increasing or decreasing order."
"266" "M3NS-IIIe-72.7" "M03NS3053" NA NA "visualizes and generates equivalent fractions."
"267" "M3GE-IIIe-11" "M03GE3054" " understanding of lines, symmetrical designs, and  tessellation using square, triangle and other shapes that can tessellate." " recognize and represent  lines in real objects and designs or drawings, complete symmetrical designs, and create patterns of designs using square, triangle and other shapes that can tessellate." "recognizes and draws a point, line, line segment and ray."
"268" "M3GE-IIIf-12.1" "M03GE3055" NA NA "recognizes and drawsparallel, intersecting and perpendicular lines."
"269" "M3GE-IIIf-13" "M03GE3056" NA NA "visualizes, identifies and draws congruent line segments."
"270" "M3GE-IIIg-7.3" "M03GE3057" NA NA "identifies and visualizes symmetry in the environment and in design."
"271" "M3GE-IIIg-7.4" "M03GE3058" NA NA "identifies and draws the line of symmetry in a given symmetrical figure."
"272" "M3GE-IIIh-7.5" "M03GE3059" NA NA "completes a symmetric figure with respect to a given line of symmetry."
"273" "M3GE-IIIh-8.3" "M03GE3060" NA NA "tessellates the plane using triangles, squares and other shapes that can tessellate."
"274" "M3AL-IIIi-4" "M03AL3061" " understanding of continuous and repeating patterns and mathematical sentences involving multiplication and division of whole numbers." " apply knowledge of continuous and repeating patterns and number sentences involving multiplication or division of whole numbers in various situations." "determines the missingterm/sin a given combination of continuous_and"
"275" "M3AL-IIIj-12" "M03AL3062" NA NA "finds the missing value in a number sentence involving multiplication or division of whole numbers."
"276" "M3ME-IVa-8" "M03ME4063" " understanding of conversion of time, linear, mass and capacity measures and area of square and rectangle." " apply knowledge of conversion of time, linear, mass and capacity measures  and area of rectangle and square in mathematical problems and real-life situations." "visualizes, and represents, and converts time measure from seconds to minutes, minutes to hours, and hours to a day and vice versa."
"277" "M3ME-IVa-9" "M03ME4064" NA NA "visualizes, and represents, and converts time measure- days to week, month and year and vice versa- weeks to months and year and vice versa- months to year and vice versa."
"278" "M3ME-IVb-10" "M03ME4065" NA NA "visualizes, and represents, and solves problems involving conversion of time measure."
"279" "M3ME-IVb-39" "M03ME4066" NA NA "visualizes, and represents, and converts common units of measure from larger to smaller unit and vice versa: meter and centimeter, kilogram and gram, liter and milliliter."
"280" "M3ME-IVc-40" "M03ME4067" NA NA "visualizes, and represents, and solves routine and non- routine problems involvingconversions of common_units"
"281" "M3ME-IVc-41" "M03ME4068" NA NA "visualizes, and represents, and finds the capacity of a container using milliliter and liter."
"282" "M3ME-IVd-42" "M03ME4069" NA NA "visualizes, and represents, and solves routine and non- routine problems involving capacity measure."
"283" "M3ME-IVd-43" "M03ME4070" NA NA "visualizes, and represents, and measures area using appropriate unit."
"284" "M3ME-IVe-44" "M03ME4071" NA NA "derives the formula for the area of a rectangle and a square."
"285" "M3ME-IVe-45" "M03ME4072" NA NA "visualizes, and represents, and finds the area of a rectangle and square in sq.cm"
"286" "M3ME-IVf-46" "M03ME4073" NA NA "solves routine and non- routine problems involving areas of squares and rectangles."
"287" "M3ME-IVf-47" "M03ME4074" NA NA "creates problems involving area of rectangle and square."
"288" "M3SP-IVg-1.3" "M03SP4075" " understanding of bar graphs and outcomes of an event using the terms sure, likely, equally likely, unlikely, and impossible to happen." " create and interpret simple representations of data (tables and single bar graphs) and describe outcomes of familiar events using the terms sure, likely, equally likely, unlikely, and impossible to happen." "collects data on onevariable using existing records."
"289" "M3SP-IVg-2.3" "M03SP4076" NA NA "sorts, classifies, and organizes data in tabular form and presents this into a  vertical or horizontalbar graph."
"290" "M3SP-IVh-3.3" "M03SP4077" NA NA "infers and interprets data presented in different kinds of bar graphs (vertical/ horizontal)."
"291" "M3SP-IVh-4.3" "M03SP4078" NA NA "solves routine and non- routine problems using datapresented in a single-bar graph."
"292" "M3SP-IVi-7.3" "M03SP4079" NA NA "tells whether an event is sure, likely, equally likely, unlikely, and impossible tohappen."
"293" "M3SP-IVj-8.3" "M03SP4080" NA NA "describes events in real-life situations using the phrases “sure  to happen,“ likely to happen”, “equally likely to happen”, “unlikely tohappen”, and “impossible to happen”."
"294" "M4NS-Ia-1.4" "M04NS1001" " understanding of whole numbers up to 100,000. _ understanding of multiplication and division of whole numbers including money." " recognize and represent whole numbers up to 100,000 in various forms and contexts. _ apply multiplication and division of whole numbers including money in mathematical problems  and real- life situations." "visualizes numbers up to 100 000 with emphasis on numbers 10 001 –100 000."
"295" "M4NS-Ia-10.4" "M04NS1002" NA NA "gives the place value and value of a digit in numbers up to 100 000."
"296" "M4NS-Ia-9.4" "M04NS1003" NA NA "reads and writes numbers up to hundred thousand in symbols and in words."
"297" "M4NS-Ib-5.2" "M04NS1004" NA NA "rounds numbers to the nearest thousand and ten thousand."
"298" "M4NS-Ib-12.4" "M04NS1005" NA NA "compares numbers up to 100 000 using relation symbols."
"299" "M4NS-Ib-13.4" "M04NS1006" NA NA "orders numbers up to 100 000 in increasing or decreasing order."
"300" "M4NS-Ic-43.7" "M04NS1007" NA NA "multiplies numbers up to 3- digit numbers by up to 2-digit numbers without or with_regrouping"
"301" "M4NS-Ic-44.2" "M04NS1008" NA NA "estimates the products of 3- to 4-digit numbers by  2- to 3- digit numbers with reasonable results."
"302" "M4NS-Id-42.3" "M04NS1009" NA NA "multiplies mentally 2-digit by 1-to 2-digit numbers with products up to 200 and explains the strategies used."
"303" "M4NS-Id-45.4" "M04NS1010" NA NA "solves routine and non- routine problems involving multiplication of whole numbers including money using appropriate problem solving strategies and tools."
"304" "M4NS-Ie-45.5" "M04NS1011" NA NA "solves multi-step routine and non-routine problems involving multiplication and addition or subtraction using appropriate problem solving strategies and tools."
"305" "M4NS-Ie-46.3" "M04NS1012" NA NA "creates problems(with reasonable answers) involving multiplication or with additionor subtraction of whole numbers including money."
"306" "M4NS-If-54.3" "M04NS1013" NA NA "divides 3- to 4-digit numbers by 1-to 2-digit numbers without and with remainder."
"307" "M4NS-If-54.4" "M04NS1014" NA NA "divides 3- to 4-digit numbers by tens or hundreds or by 1 000 without and with remainder."
"308" "M4NS-Ig-55.2" "M04NS1015" NA NA "estimates the quotient of 3- to 4-digit dividends by 1- to 2- digit divisors with reasonableresults."
"309" "M4NS-Ig-52.3" "M04NS1016" NA NA "divides mentally 2- to 3-digit numbers by 1-digit numbers without remainder using appropriate strategies."
"310" "M4NS-Ih-56.3" "M04NS1017" NA NA "solves routine and non-routine problems involving division of 3- to 4-digit numbers by 1- to 2-digit numbers including money using appropriate problem solving strategies and tools."
"311" "M4NS-Ih-56.4" "M04NS1018" NA NA "solves multi-step routine and non-routine problems involving division and any of the other operations of whole numbers including money using appropriate problem solving strategies and tools."
"312" "M4NS-Ii-57.3" "M04NS1019" NA NA "creates problems involving division without or with any other operations of whole numbers including money,with reasonable answers"
"313" "M4NS-Ii-61.1" "M04NS1020" NA NA "represents and explains Multiplication, Division, Addition, Subtraction (MDAS)correctly."
"314" "M4NS-Ij-62.1" "M04NS1021" NA NA "performs a series of two or more operations."
"315" "M4NS-IIa-64" "M04NS2022" " understanding of factors and multiples and addition and subtraction of fractions. _ understanding of improper fractions and mixed numbers  " " apply knowledge of factors and multiples, and addition and subtraction of fractions in mathematical problems  and real-life situations. _ recognize and represent improper fractions and mixed numbers in various forms and contexts." "identifies factors of a given number up to 100."
"316" "M4NS-IIa-65" "M04NS2023" NA NA "identifies the multiples of a given number up to 100."
"317" "M4NS-IIb-66" "M04NS2024" NA NA "differentiates prime from composite numbers."
"318" "M4NS-IIb-67" "M04NS2025" NA NA "writes a given number as a product of its prime factors."
"319" "M4NS-IIc-68.1" "M04NS2026" NA NA "finds the common factors and the greatest common factor (GCF) of two numbers using the following methods: listing, prime factorization, and continuous division."
"320" "M4NS-IIc-69.1" "M04NS2027" NA NA "finds the common multiples and least common multiple (LCM) of two numbers using the following methods: listing, prime factorization, and continuous division."
"321" "M4NS-IId-70.1" "M04NS2028" NA NA "solves real-life problems involving GCF and LCM of 2_given"
"322" "M4NS-IId-71.1" "M04NS2029" NA NA "creates problems with reasonable answers involving GCF and LCM of 2 givennumbers."
"323" "M4NS-IIe-79.2" "M04NS2030" NA NA "identifies proper fractions, improper fractions, and mixed numbers."
"324" "M4NS-IIe-80" "M04NS2031" NA NA "changes improper fraction to mixed numbers and vice versa."
"325" "M4NS-IIe-81" "M04NS2032" NA NA "changes fractions to lowest forms."
"326" "M4NS-IIf-82.1" "M04NS2033" NA NA "visualizes addition and subtraction of similar fractions."
"327" "M4NS-IIf-82.2" "M04NS2034" NA NA "visualizes subtraction of  a fraction from a whole number."
"328" "M4NS-IIg-82.3" "M04NS2035" NA NA "visualizes addition and subtraction of dissimilar fractions."
"329" "M4NS-IIg-83" "M04NS2036" NA NA "performs addition and subtraction of similar and dissimilar fractions."
"330" "M4NS-IIh-87.1" "M04NS2037" NA NA "solves routine and non- routine problems involving addition and/or subtraction of fractions using appropriate problem solving strategies and tools."
"331" "M4NS-IIh-88.1" "M04NS2038" NA NA "creates problems(with reasonable answers) involving addition and/orsubtraction of fractions."
"332" "M4NS-IIi-99" "M04NS2039" NA NA "visualizes decimal numbers using models like blocks, grids, number lines and money to show the relationship to fractions."
"333" "M4NS-IIi-100" "M04NS2040" NA NA "renames decimal numbers to fractions, and fractionswhose denominators are_factors"
"334" "M4NS-IIi-101.1" "M04NS2041" NA NA "gives the place value and  the value of a digit of a given decimal number through hundredths."
"335" "M4NS-IIj-102.1" "M04NS2042" NA NA "reads and writes decimal numbers through hundredths."
"336" "M4NS-IIj-103.1" "M04NS2043" NA NA "rounds decimal numbers to the nearest whole number and tenth."
"337" "M4NS-IIj-104.1" "M04NS2044" NA NA "compares and arranges decimal numbers."
"338" "M4GE-IIIa-12.2" "M04GE3045" " understanding of the concepts of parallel and perpendicular lines, angles, triangles, and quadrilaterals." " construct and describe parallel and perpendicular lines, angles, triangles, and quadrilaterals in designs, drawings and models." "describes and illustrates parallel, intersecting, and perpendicular lines."
"339" "M4GE-IIIa-12.3" "M04GE3046" NA NA "draws perpendicular and parallel lines using a ruler and a set square."
"340" "M4GE-IIIb-14" "M04GE3047" NA NA "describes and illustrates different angles (right, acute, and obtuse) using models."
"341" "M4GE-IIIb-15" "M04GE3048" NA NA "describes the attributes/properties of triangles and quadrilateralsusing concrete objects or models."
"342" "M4GE-IIIc-16" "M04GE3049" NA NA "identifies and describes triangles according to sides and angles."
"343" "M4GE-IIIc-17" "M04GE3050" NA NA "identifies and describes the different kinds of quadrilaterals: square, rectangle, parallelogram, trapezoid, and rhombus."
"344" "M4GE-IIId-18.1" "M04GE3051" NA NA "relates triangles to quadrilaterals"
"345" "M4GE-IIId-18.2" "M04GE3052" NA NA "relates one quadrilateral to another quadrilateral (- square to  rhombus)."
"346" "M4AL-IIIe-5" "M04AL3053" " understanding of concepts of continuous and repeating patterns and number sentences." " identify the missing element in a pattern and number sentence." "determines the missingterm/s in a sequence of numbers (- odd numbers, even numbers, multiples of a number, factors of a number, etc."
"347" "M4AL-IIIe-13" "M04AL3054" NA NA "finds the missing number in an equation involving properties of operations."
"348" "M4ME-IIIf-11" "M04ME3055" " understanding of the concept of time, perimeter, area, and volume." " apply the concepts of time, perimeter, area, and volume to mathematical problems and real-life situations." "finds the elapsed time in minutes and seconds."
"349" "M4ME-IIIf-12" "M04ME3056" NA NA "estimates the duration of time in minutes."
"350" "M4ME-IIIg-13" "M04ME3057" NA NA "solves problems involving elapsed time."
"351" "M4ME-IIIg-48" "M04ME3058" NA NA "visualizes the perimeter of any given plane figure in differentsituations."
"352" "M4ME-IIIh-49" "M04ME3059" NA NA "measures the perimeter of any given figure using appropriate tools."
"353" "M4ME-IIIh-50" "M04ME3060" NA NA "derives the formula for perimeter of any given figure."
"354" "M4ME-IIIi-51" "M04ME3061" NA NA "finds the perimeter of triangles, squares, rectangles, parallelograms, and trapezoids."
"355" "M4ME-IIIi-52" "M04ME3062" NA NA "solves routine and non- routine problems in real-life situations involving perimeter of squares and rectangles, triangles, parallelograms, and trapezoids."
"356" "M4ME-IIIj-53" "M04ME3063" NA NA "differentiates perimeter from area."
"357" "M4ME-IIIj-54" "M04ME3064" NA NA "converts sq. cm"
"358" "M4ME-IVa-55" "M04ME4065" NA NA "finds the area of irregular figures made up of squaresand rectangles using sq. cm"
"359" "M4ME-IVa-56" "M04ME4066" NA NA "estimates the area of irregular plane figures made up ofsquares and rectangles."
"360" "M4ME-IVb-57" "M04ME4067" NA NA "derives the formulas for the area of triangles, parallelograms, and trapezoids."
"361" "M4ME-IVb-58" "M04ME4068" NA NA "finds the area of triangles, parallelograms and trapezoids using sq. cm"
"362" "M4ME-IVc-59" "M04ME4069" NA NA "estimates the area of triangles, parallelograms, andtrapezoids"
"363" "M4ME-IVc-60" "M04ME4070" NA NA "solves routine and non-routine problems involving   squares, rectangles, triangles, parallelograms, and trapezoids."
"364" "M4ME-IVd-61" "M04ME4071" NA NA "creates problems(with reasonable answers) involving perimeter and area involving squares, rectangles, triangles, parallelograms, andtrapezoids."
"365" "M4ME-IVd-62" "M04ME4072" NA NA "visualizes the volume of solid figures in different situations using non-standard (- marbles, etc."
"366" "M4ME-IVe-63" "M04ME4073" NA NA "derives  the formula for the volume of rectangular prisms."
"367" "M4ME-IVe-64" "M04ME4074" NA NA "finds the volume of a rectangular prism using cu. cm"
"368" "M4ME-IVf-65" "M04ME4075" NA NA "solves routine and non-routine problems involving the volume of a rectangular prism."
"369" "M4ME-IVf-66" "M04ME4076" NA NA "creates problems(with reasonable answers) involvingvolume of rectangular prism."
"370" "M4SP-IVg-1.4" "M04SP4077" " understanding of the concepts of bar graphs and simple experiments." " create and interpret simple representations of data (tables and bar graphs) and describe outcomes in simple experiments." "collects data on two variables using any source."
"371" "M4SP-IVg-2.4" "M04SP4078" NA NA "organizes data in tabular form and presents them in a single/double horizontal or vertical bar graph."
"372" "M4SP-IVg-3.4" "M04SP4079" NA NA "interprets data presented in different kinds  of bar graphs (vertical/horizontal, single/double bars)."
"373" "M4SP-IVh-4.4" "M04SP4080" NA NA "solves routine and non-routine problems using datapresented in a single or double-bar graph."
"374" "M4SP-IVh-5.4" "M04SP4081" NA NA "draws inferences based on data presented in a double-_bar"
"375" "M4SP-IVi-9" "M04SP4082" NA NA "records favorable outcomes in a simple experiment (- tossing a coin,  spinning awheel, etc."
"376" "M4SP-IVi-10" "M04SP4083" NA NA "expresses the outcome in asimple experiment in words, symbols, tables, or graphs."
"377" "M4SP-IVi-11" "M04SP4084" NA NA "explains the outcomes in an experiment."
"378" "M4SP-IVj-12" "M04SP4085" NA NA "solves routine and non-routine problems involving a simple experiment."
"379" "M4SP-IVj-13" "M04SP4086" NA NA "creates problems involving a simple experiment."
"380" "M5NS-Ia-1.5" "M05NS1001" " understanding of whole numbers up to 10 000 000. _ understanding of divisibility, order of operations, factors and multiples, and the four fundamental operations involving fractions" " recognize and represent whole numbers up to 10 000 000 in various forms and contexts. _ apply divisibility, order of operations, factors and multiples, and the four fundamental operations involving fractions in mathematical problems  and real- life situations." "visualizes numbers up to 10 000 000 with emphasis on numbers 100 001 –  10 000 000."
"381" "M5NS-Ia-9.5" "M05NS1002" NA NA "reads and writes numbers up to10 000 000 in symbols and in words."
"382" "M5NS-Ia-15.3" "M05NS1003" NA NA "rounds numbers to the nearest hundred thousand and million."
"383" "M5NS-Ib-58.1" "M05NS1004" NA NA "uses divisibility rules for  2, 5, and 10 to find the common factors of numbers."
"384" "M5NS-Ib-58.2" "M05NS1005" NA NA "uses divisibility rules for 3, 6, and 9 to find common factors."
"385" "M5NS-Ib-58.3" "M05NS1006" NA NA "uses divisibility rules for  4, 8,12, and 11 to find common factors."
"386" "M5NS-Ic-59" "M05NS1007" NA NA "solves routine and non-routine problems involving  factors, multiples, and divisibility rulesfor 2,3,4,5,6,8,9,10,11, and12."
"387" "M5NS-Ic-60" "M05NS1008" NA NA "creates problems(with reasonable answers) involving factors, multiples anddivisibility rules."
"388" "M5NS-Ic-61.2" "M05NS1009" NA NA "states, explains, and interprets Parenthesis, Multiplication, Division, Addition, Subtraction (PMDAS) or Grouping, Multiplication, Division, Addition, Subtraction(GMDAS) rule."
"389" "M5NS-Id-62.2" "M05NS1010" NA NA "simplifies a series of operations on whole numbers involving more than two operations using the PMDASor GMDAS rule."
"390" "M5NS-Id-68.2" "M05NS1011" NA NA "finds the common factors and the GCF of 2–4 numbers using continuous division."
"391" "M5NS-Id-69.2" "M05NS1012" NA NA "finds the common multiples and LCM of 2–4 numbers using continuous division."
"392" "M5NS-Ie-70.2" "M05NS1013" NA NA "solves real-life problems involving GCF and LCM of 2-3given numbers."
"393" "M5NS-Ie-71.2" "M05NS1014" NA NA "creates problems(with reasonable answers)involving GCF and LCM of 2-3 givennumbers."
"394" "M5NS-Ie-84" "M05NS1015" NA NA "adds fractions and mixed fractions without and with regrouping."
"395" "M5NS-If-85" "M05NS1016" NA NA "subtracts fractions and mixed fractions without and  with regrouping."
"396" "M5NS-If-87.2" "M05NS1017" NA NA "solves routine and non-routine problems involving addition and/or subtraction of fractions using appropriate problem solving strategies and tools."
"397" "M5NS-If-88.2" "M05NS1018" NA NA "creates problems (with reasonable answers) involving addition and/or subtraction of fractions using appropriateproblem solving strategies."
"398" "M5NS-Ig-89" "M05NS1019" NA NA "visualizes multiplication of fractions using models."
"399" "M5NS-Ig-90.1" "M05NS1020" NA NA "multiplies a fraction and a whole number and another_fraction"
"400" "M5NS-Ig-91" "M05NS1021" NA NA "multiplies mentally proper fractions with denominators up to 10."
"401" "M5NS-Ih-92.1" "M05NS1022" NA NA "solves routine or non-routine problems involving multiplication without or with addition or subtraction offractions and whole numbers_using"
"402" "M5NS-Ih-93.1" "M05NS1023" NA NA "creates problems (with reasonable answers) involvingmultiplication of fractions."
"403" "M5NS-Ih-94" "M05NS1024" NA NA "shows that multiplying a fraction by its reciprocal is equal to 1."
"404" "M5NS-Ii-95" "M05NS1025" NA NA "visualizes division of fractions."
"405" "M5NS-Ii-96.1" "M05NS1026" NA NA "divides-     simple fractions-     whole numbers by a fraction and vice versa"
"406" "M5NS-Ij-97.1" "M05NS1027" NA NA "solves routine or non-routine problems involving division without or with any of the other operations of fractions and whole numbers using appropriate problem solving strategies and  tools ."
"407" "M5NS-Ij-98.1" "M05NS1028" NA NA "creates problems (with reasonable answers) involving division or with any of the other operations of fractions and whole numbers."
"408" "M5NS-IIa-101.2" "M05NS2029" " understanding of decimals. _ understanding of the four fundamental operations involving decimals and ratio and proportion." " recognize and represent decimals in various forms and contexts. _ apply the four fundamental operations involving decimals and ratio and proportion in mathematical problems  and real-life situations." "gives the place value and  the value of a digit of a given decimal number through ten thousandths."
"409" "M5NS-IIa-102.2" "M05NS2030" NA NA "reads and writes decimal numbers through ten thousandths."
"410" "M5NS-IIa-103.2" "M05NS2031" NA NA "rounds decimal numbers to the nearest hundredth and thousandth."
"411" "M5NS-IIb-104.2" "M05NS2032" NA NA "compares and arranges decimal numbers."
"412" "M5NS-IIb-105" "M05NS2033" NA NA "visualizes addition and subtraction of decimals."
"413" "M5NS-IIb-106.1" "M05NS2034" NA NA "adds and subtracts decimal numbers through thousandths without and with regrouping."
"414" "M5NS-IIc-107" "M05NS2035" NA NA "estimates the sum or difference of decimal numbers with reasonable results."
"415" "M5NS-IIc-108.1" "M05NS2036" NA NA "solves routine or non-routine problems involving addition and subtraction of decimal numbers including money using appropriate problem solving strategies and tools."
"416" "M5NS-IIc-109.1" "M05NS2037" NA NA "creates problems (with reasonable answers) involving addition and/or subtraction of decimal numbers includingmoney."
"417" "M5NS-IId-110" "M05NS2038" NA NA "visualizes multiplication of decimal numbers using pictorial models."
"418" "M5NS-IId-111.1" "M05NS2039" NA NA "multiplies decimals up to 2 decimal places by 1- to 2-digit whole numbers."
"419" "M5NS-IId-111.2" "M05NS2040" NA NA "multiplies decimals with factors up to 2 decimal places."
"420" "M5NS-IIe-112" "M05NS2041" NA NA "estimates the products of decimal numbers with reasonable results."
"421" "M5NS-IIe-113.1" "M05NS2042" NA NA "solves routine and non-routine problems involving multiplication without or with addition or subtraction of decimals and whole numbers including money using appropriate problem solving strategies and tools."
"422" "M5NS-IIf-115" "M05NS2043" NA NA "visualizes division of decimal numbers using pictorial models."
"423" "M5NS-IIf-116.1" "M05NS2044" NA NA "divides decimals with up to 2 decimal places."
"424" "M5NS-IIf-116.2" "M05NS2045" NA NA "divides whole numbers with quotients in decimal form."
"425" "M5NS-IIg-117" "M05NS2046" NA NA "estimates the quotients of decimal numbers with reasonable results."
"426" "M5NS-IIg-120.1" "M05NS2047" NA NA "solves routine and non-routine problems involving division without or with any of the other operations of decimals and whole numbers including money using appropriate problem solving strategies and tools."
"427" "M5NS-IIg-121.1" "M05NS2048" NA NA "creates problems (withreasonable answers) involving multiplication and/or division_or"
"428" "M5NS-IIh-122" "M05NS2049" NA NA "visualizes the ratio of 2 given numbers."
"429" "M5NS-IIh-123" "M05NS2050" NA NA "expresses ratio using either the colon (:) or fraction."
"430" "M5NS-IIi-124" "M05NS2051" NA NA "identifies and writes equivalent ratios."
"431" "M5NS-IIi-125" "M05NS2052" NA NA "expresses ratios in their simplest forms."
"432" "M5NS-IIi-126" "M05NS2053" NA NA "finds the missing term in a pair of equivalent ratios."
"433" "M5NS-IIj-127" "M05NS2054" NA NA "defines and describes a proportion."
"434" "M5NS-IIj-128" "M05NS2055" NA NA "recognizes when two quantities are in directproportion."
"435" "M5NS-IIIa-136" "M05NS3056" " understanding of percent." " apply percent in mathematical problems  and real-life situations" "visualizes percent and its relationship to fractions, ratios, and decimal numbers using models."
"436" "M5NS-IIIa-137" "M05NS3057" NA NA "defines percentage, rate or percent, and base."
"437" "M5NS-IIIa-138" "M05NS3058" NA NA "identifies the base, percentage, and rate in a problem."
